Function,Parameters,Where its called OG,Where its called Now,Where I moved it,Private/Public,Static
get CurrentImage,Object,Functions.GetbackgroundImage,WorldModel.GetbackgroundImage,,,
,,Functions.drawEntities,Functions.drawEntities,,,
getAnimationPeriod,Entitiy,Functions.executeAnimationAction,Action.executeAnimationAction,entity,Public,
,,Functions.scheduleActions (8 times),Functions.scheduleActions (8 times),EventScheduler,Public,
nextImage,Entity,functions.executeAnimationAction ,Action.executeAnimationAction,Entity,Public,
executeAction,"Action, Event Scheduler",Functions.UpdateOnTime,EventScheduler.UpdateOnTime,Action,Public,
executeAnimationAction,"Action, EventScheduler",Functions.executeAction,Action.executeAction,Action,private,
ExecuteActivityAction,"Action, EventScheduler",Functions.executeAction,Action.executeAction,Action,private,
ExecuteOctoFullActivity,"Entity, WorldModel, ImageStore,EventScheduler",Functions.executeActivityAction,Action.executeActivityAction,Entity,Public,
ExecuteOctoNotFullActivity,"Entity, WorldModel, ImageStore,EventScheduler",Functions.executeActivityAction,Action.executeActivityAction,Entity,Public,
executeFishActivity,"Entity, WorldModel, ImageStore,EventScheduler",Functions.executeActivityAction,Action.executeActivityAction,Entity,Public,
executeCrabActivity,"Entity, WorldModel, ImageStore,EventScheduler",Functions.executeActivityAction,Action.executeActivityAction,Entity,Public,
executeQuakeActivity,"Entity, WorldModel, ImageStore,EventScheduler",Functions.executeActivityAction,Action.executeActivityAction,Entity,Public,
executeAtlantisActivity,"Entity, WorldModel, ImageStore,EventScheduler",Functions.executeActivityAction,Action.executeActivityAction,Entity,Public,
executeSgrassActivity,"Entity, WorldModel, ImageStore,EventScheduler",Functions.executeActivityAction,Action.executeActivityAction,Entity,Public,
scheduleActions,"Entity, EventScheduler, WorldModel, ImageStore",Functions.TransformNotFull,Entity.TransformNotFull,EventScheduler,Public,
,,Functions.TransformFull,Entity.TransformFull,,,
,,Functions.executeFullOctoActivity,Entity.executeFullOctoActivity,,,
,,Functions.executeFishActivity,Entity.executeFishActivity,,,
,,Functions.executeCrabActivity,Entity.executeCrabActivity,,,
,,Functions.executeSgrassActivity,Entity.executeSgrassActivity,,,
,,VirtualWorld.scheduleActions,VirtualWorld.scheduleActions,,,
transformNotFull,"Entity, WorldModel, EventSchedule, ImageStore",functions.executeOctoNotFullActivity,Entitiy.executeOctoNotFullActivity,Entity,Private,
transformFull,"Entity, WorldModel, EventSchedule, ImageStore",functions.executeOctoFullActivity,Entitiy.executeOctoFullActivity,Entity,Private,
moveToNotFull,"Entity, WorldModel, Entity, EvenScedular",functions.executeOctoNotFullActivity,Entitiy.executeOctoNotFullActivity,Entity,Private,
moveToFull,"Entitiy, WorldModel, Entity, EventScheduler",functions.executeOctoFullActivity,Entitiy.executeOctoFullActivity,Entity,Private,
moveToCrab,"Entity,WorldModel, Entity, EvenScheduler",executeCrabActivity,Entitiy.executeCrabActivity,Entity,Private,
nextPositionOcto,"Entity, WorldModel, Point",movetoNotFull,Entitiy.movetoNotFull,Entity,Private,
,,moveToFull,Entitiy.movetoNotFull,,,
nextPositionCrab,"Entity, WorldModel, Point",moveToCrab,Entitiy.movetoNotFull,Entity,Private,
adjacent,"Point, Point",movetToNotFull,,Point,Public,
,,moveToFull,,Point,,
,,moveToCrab,,Point,,
findOpenAround,"WorldModel, Point",executeSgrassActivity,,WorlldModel,Public,
scheduleEvent,"EventScheduler, Entity, Action, long",executeAnimationAction,,EventScheduler,Public,
,,executeOctoFullActivity,,,,
,,executeOctoNotFUllActivity,,,,
,,executecrabactivity,,,,
,,executeSgrassActivity,,,,
,,ScheduleActions (11 times),,,,
unscheduleAllEvents,"EventScheduler, Entity",executeFishActivity,,EventScheduler,Public,
,,executeQuakeActivity,,,,
,,executeAtlantisActivity,,,,
,,transformNotFull,,,,
,,transformFull,,,,
,,movetToNotFull (x2),,,,
,,moveToFull,,,,
,,moveToCrab (x2),,,,
removePendingEvent,"EventScheduler, Event",updateOnTime,,EventScheduler,Private,
updateOnTime,"EventScheduler, long",VirtualWorld.draw(),,EventScheduler,public,
getImageList,"ImageStore, String",parseBackground,,ImageStore,Public,
,,parseOcto,,,,
,,parseObstacle,,,,
,,parseFish,,,,
,,parseAtlantis,,,,
,,parseSgrass,,,,
,,createDefaultBackground,,,,
loadImages,"Scanner, ImageStore, Papplet",VirtualWorld.loadImages,,,,
,,VirtualWorld.setup,,,,
processImageLine,"Map, List, String, Papplet",loadImages,,ImageStore,private,
,,,,,,
getImages,"Map, String",ProcessImageLine,,ImageStore,Private,
setAlpha,"Pimage, int, int",ProcessImageLine,,ImageStore,Private,
shift,"Viewport, int, int",shiftView,WorldView.shiftView,ViewPort,Public,
contains,"Viewport, Point",drawEntities,WorldView.drawEntities,ViewPort,Public,
load,"Scanner, WorldModel, ImageStore",VirtualWorld.loadWorld,,WorlldModel,Public,
processLine,"String, WorldModel, Imagestore",load,,WorlldModel,,
parseBackground,"String, WorldModel, ImageStore",processLine,,WorlldModel,,
parseOcto,"String, WorldModel, ImageStore",processLine,,WorlldModel,,
parseObstacle,"String, WorldModel, ImageStore",processLine,,WorlldModel,,
parseFish,"String, WorldModel, ImageStore",processLine,,WorlldModel,,
parseAtlantis,"String, WorldModel, ImageStore",processLine,,WorlldModel,,
parseSgrass,"String, WorldModel, ImageStore",processLine,,WorlldModel,,
tryAddEntity,"WorldModel, Entity",parseOcto,,,,
,,parseObstacle,,,,
,,parseFish,,,,
,,parseAtlantis,,,,
,,parseSgrass,,,,
withinBounds,"WorldModel, Point",isOccupied,isOccupied,WorlldModel,Private,
,,addEntity,addEntity,,,
,,moveEntity,moveEntity,,,
,,removeEntityAt,removeEntityAt,,,
,,getBackgroundImage,getBackgroundImage,,,
,,setBackground,setBackground,,,
,,findOpenAround,findOpenAround,,,
isOccupied,"WorldModel, Point",getOccupant,,WorlldModel,Public,
,,nextPositionOcto (x2),,,,
,,findOpenAround,,,,
,,tryAddEntity,,,,
nearestEntity,"List<Entity>, Point",findNearest,,WorldModel,Private,
distanceSquared,"Point, Point",nearestEntity (x2),,Point,Public,
findNearest,"WorldModel, Point, EntityKind",executeOctoFullActivity,,WorldModel,Public,
,,executeOctoNotFullActivity,,,,
,,executecrabactivity,,,,
addEntity,"WorldModel, Entity",executeFishActivity,,WorldModel,Public,
,,executeCrabActivity,,,,
,,executeSgrassActivity,,,,
,,transformNotFull,,,,
,,transformFull,,,,
,,tryAddEntity,,,,
moveEntity,"WorldModel, Entity, Point",movetoNotFull,,WorldModel,Public,
,,movetoFull,,,,
,,moveToCrab,,,,
removeEntity,"WorldModel, Entity",executeFishActivity,,WorldModel,Public,
,,executeQuakeActivity,,,,
,,executeAtlantisActivity,,,,
,,transformNotFull,,,,
,,transformFull,,,,
,,movetoNotFull,,,,
,,moveToCrab,,,,
removeEntityAt,"WorldModel, Point",moveEntity,,WorldModel,private,
,,removeEntity,,,,
getBackgroundImage,"WorldModel, Point",drawBackground,,WorldModel,public,
setBackground,"WorldModel, Point, Background",parseBackground,,WorldModel,Private,
getOccupant,"WorldModel, Point",moveToNotFull,,WorldModel,Public,
,,movetoFull,,,,
,,moveToCrab,,,,
,,nextPositionCrab (x2),,,,
getOccupancyCell,"WorldModel, Point",isOccupied,,WorldModel,private,
,,removeEntityAt (x2),,,,
,,getOccupant,,,,
setOccupancyCell,"WorldModel, Point, Entity",addEntity,,WorldModel,private,
,,moveEntity (x2),,,,
,,removeEntityAt,,,,
getBackgroundCell,"WorldModel, Point",getBackgroundImage,,WorldModel,private,
setBackgroundCell,"WorldModel, Point, Background",setBackground,,WorldModel,private,
viewportToWorld,"Viewport, int, int",drawBackground,,ViewPort,Public,
worldToViewport,"Viewport, int, int",drawEntities,,ViewPort,Public,
clamp,"int, int, int",ShiftView,,WorldView,Private,
shiftView,"WorldView, int, int",VirtualWorld.keyPressed,,WorldView,Public,
drawBackground,WorldView,drawViewport,,WorldView,Private,
drawEntities,WorldView,drawViewport,,WorldView,Private,
drawViewport,WorldView,VirtualWorld.draw(),,WorldView,Public,
createAnimationAction,"Entitity, int",executeAnimationAction,,Action,Public,Yes
,,ScheduleActions (5 times),,,,
createActivityAction,"Entity, WorldModel, ImageStore",executeOctoFullActivity,,,Public,Yes
,,executeOctoNotFullActivity,,,,
,,executeCrabActivity,,,,
,,executeSgrassActivity,,,,
,,ScheduleActions (6 times),,,,
createAtlantis,"String, Point, List<PImage>",parseAtlantis,,,Public,Yes
createOctoFull,"String, int, Point, int, int, List<PImage>",transformNotFull,,,Public,Yes
createOctoNotFull,"String, int, Point, int, int, List<PImage>",transformFull,,,Public,Yes
,,parseOcto,,,,
createObstacle,"String, Point, List<PImage>",parseObstacle,,,Public,Yes
createFish,"String, Point, int, List<PImage>",executeSgrassActivity,,,public,Yes
,,parseFish,,,,Yes
createCrab,"String, Point, int, int, List<PImage>",executeFishActivity,,,Private,Yes
createQuake,"Point, List<PImage>",executeCrabActivity,,,Private,Yes
createSgrass,"String, Point, int, List<PImage>",parseSgrass,,,Public,Yes
